org_id,name,website,country,description,founded,industry,num_employees
fab0d41d5b5d22c,ferrell llc,https://price.net/,papua new guinea,horizontal empowering knowledgebase,1990,plastics,3498
6a7eddea9fadc52,"mckinney, riley and day",http://www.hall-buchanan.info/,finland,user-centric system-worthy leverage,2015,glass / ceramics / concrete,4952
0bfed1adae4bcc1,hester ltd,http://sullivan-reed.com/,china,switchable scalable moratorium,1971,public safety,5287
2bfc1be8a4ce42f,holder-sellers,https://becker.com/,turkmenistan,de-engineered systemic artificial intelligence,2004,automotive,921
9ee8a6a4eb96c24,mayer group,http://www.brewer.com/,mauritius,synchronized needs-based challenge,1991,transportation,7870
cc757116fe1c085,henry-thompson,http://morse.net/,bahamas,face-to-face well-modulated customer loyalty,1992,primary / secondary education,4914
219233e8aff1bc3,hansen-everett,https://www.kidd.org/,pakistan,seamless disintermediate collaboration,2018,publishing industry,7832
ccc93dcf81a31cd,mcintosh-mora,https://www.brooks.com/,heard island and mcdonald islands,centralized attitude-oriented capability,1970,import / export,4389
0b4f93aa06ed03e,carr inc,http://ross.com/,kuwait,distributed impactful customer loyalty,1996,plastics,8167
738b5ade6b1c6a5,gaines inc,http://sandoval-hooper.com/,uzbekistan,multi-lateral scalable protocol,1997,outsourcing / offshoring,9698
ae61b8ffebbc476,kidd group,http://www.lyons.com/,bouvet island (bouvetoya),proactive foreground paradigm,2001,primary / secondary education,7473
eb3b7d06ccdd609,crane-clarke,https://www.sandoval.com/,denmark,front-line clear-thinking encryption,2014,food / beverages,9011
8d0c29189c9798b,"keller, campos and black",https://www.garner.info/,liberia,ameliorated directional emulation,2020,museums / institutions,2862
d2c91cc03ca394c,glover-pope,http://www.silva.biz/,united arab emirates,persevering contextually-based approach,2013,medical practice,9079
c8ac1eaf9c036f4,pacheco-spears,https://aguilar.com/,sweden,secured logistical synergy,1984,maritime,769
b5d10a14f7a8afe,hodge-ayers,http://www.archer-elliott.com/,honduras,future-proofed radical implementation,1990,facilities services,8508
68139b5c4de03b4,"bowers, guerra and krause",http://www.carrillo-nicholson.com/,uganda,de-engineered transitional strategy,1972,primary / secondary education,6986
5c2effefdba2bdf,mckenzie-melton,http://montoya-thompson.com/,hong kong,reverse-engineered heuristic alliance,1998,investment management / hedge fund / private equity,4589
ba179f19f7925f5,branch-mann,http://www.lozano.com/,botswana,adaptive intangible frame,1999,architecture / planning,7961
c1ce9b350bac66b,weiss and sons,https://barrett.com/,korea,sharable optimal functionalities,2011,plastics,5984
8de40ac4e6eaca4,"velez, payne and coffey",http://burton.com/,luxembourg,mandatory coherent synergy,1986,wholesale,5010
aad86a4f0385f2d,harrell llc,http://www.frey-rosario.com/,guadeloupe,reverse-engineered mission-critical moratorium,2018,construction,2185
22ac3ffd64fd703,"eaton, reynolds and vargas",http://www.freeman.biz/,monaco,self-enabling multi-tasking process improvement,2014,luxury goods / jewelry,8987
5ec4c272bcf085c,robbins-cummings,http://donaldson-wilkins.com/,belgium,organic non-volatile hierarchy,1991,pharmaceuticals,5038
5fdbea8bb91a000,jenkins inc,http://www.kirk.biz/,south africa,front-line systematic help-desk,2002,insurance,1215
dffd6a6f9ac2d9c,"greene, benjamin and novak",http://www.kent.net/,romania,centralized leadingedge moratorium,2012,museums / institutions,4941
4b217cc5a0674c5,"dickson, richmond and clay",http://everett.com/,czech republic,team-oriented tangible complexity,1980,real estate / mortgage,3122
88b1f1cdcf59a37,prince-david,http://thompson.com/,christmas island,virtual holistic methodology,1970,banking / mortgage,1046
f9f7bbcaeec360f,ayala llc,http://www.zhang.com/,philippines,open-source zero administration hierarchy,2021,legal services,7664
7cb3aefce4ba31e,rivas group,https://hebert.org/,australia,open-architected well-modulated capacity,1998,logistics / procurement,4155
ccbcc32adcbc530,"sloan, mays and whitehead",http://lawson.com/,chad,face-to-face high-level conglomeration,1997,civil engineering,365
f5afd686b3d05f5,"durham, allen and barnes",http://chan-stafford.org/,zimbabwe,synergistic web-enabled framework,1993,mechanical or industrial engineering,6135
38c6cfc5074fa5e,fritz-franklin,http://www.lambert.com/,nepal,automated 4thgeneration website,1972,hospitality,4516
5cd7efccccba38f,burch-ewing,http://cline.net/,taiwan,user-centric 4thgeneration system engine,1981,venture capital / vc,7443
9e6acb51e3f9d6f,"glass, barrera and turner",https://dunlap.com/,kyrgyz republic,multi-channeled 3rdgeneration open system,2020,utilities,2610
4d4d7e18321eaec,pineda-cox,http://aguilar.org/,bolivia,fundamental asynchronous capability,2010,human resources / hr,1312
485f5d06b938f2b,"baker, mccann and macdonald",http://www.anderson-barker.com/,kenya,cross-group user-facing focus group,2013,legislative office,1638
19e3a5bf6dbdc4f,cuevas-moss,https://dodson-castaneda.net/,guatemala,extended human-resource intranet,1994,music,9995
6883a965c7b68f7,hahn plc,http://newman.com/,belarus,organic logistical leverage,2012,electrical / electronic manufacturing,3715
ac5b7aa74aa4a2e,"valentine, ferguson and kramer",http://stuart.net/,jersey,centralized secondary time-frame,1997,non-profit / volunteering,3585
decab0d5027ca6a,arroyo inc,https://www.turner.com/,grenada,managed demand-driven website,2006,writing / editing,9067
df084fbbb613eea,walls llc,http://www.reese-vasquez.biz/,cape verde,self-enabling fresh-thinking installation,1989,investment management / hedge fund / private equity,1678
a2d89ab9bccad4e,"mitchell, warren and schneider",https://fox.biz/,trinidad and tobago,enhanced intangible time-frame,2021,capital markets / hedge fund / private equity,3816
77adc905434a49f,prince plc,https://www.watts.com/,sweden,profit-focused coherent installation,2016,individual / family services,7645
235fdefe2cfda5f,brock-blackwell,http://www.small.com/,benin,secured foreground emulation,1986,online publishing,7034
1ed64cfe986bbbe,walton-barnett,https://ashley-schaefer.com/,western sahara,right-sized clear-thinking flexibility,2001,luxury goods / jewelry,1746
cbbbfcdd0eae2cf,bartlett-arroyo,https://cruz.com/,northern mariana islands,realigned didactic function,1976,civic / social organization,3987
49aecbdae6abd53,"wallace, madden and morris",http://www.blevins-fernandez.biz/,germany,persistent real-time customer loyalty,2016,pharmaceuticals,9443
7b3fe6e7e72bfa4,berg-sparks,https://cisneros-love.com/,canada,stand-alone static implementation,1974,arts / crafts,2073
c6deda82a8aef7e,gonzales ltd,http://bird.com/,tonga,managed human-resource policy,1988,consumer goods,9069
7d9fbf85cdc3871,lawson and sons,https://www.wong.com/,french southern territories,compatible analyzing intranet,2021,arts / crafts,3527
7dd18fb7cb07b65,"mcguire, mcconnell and olsen",https://melton-briggs.com/,korea,profound client-server frame,1988,printing,8445
ef5b55fadccb8fe,charles-phillips,https://bowman.com/,cote d'ivoire,monitored client-server implementation,2012,mental health care,3450
f8d4b99e11faf5d,odom ltd,https://www.humphrey-hess.com/,cote d'ivoire,advanced static process improvement,2012,management consulting,1825
e24d21bfd3bf1e5,richard plc,https://holden-coleman.net/,mayotte,object-based optimizing model,1971,broadcast media,4942
b9bdfeb6d3ca44e,sampson ltd,https://blevins.com/,cayman islands,intuitive local adapter,2005,farming,1418
2a74d6f3d3b268e,"cherry, le and callahan",https://waller-delacruz.biz/,nigeria,universal human-resource collaboration,2017,entertainment / movie production,7202
bf3f3f62c8abc33,cherry plc,https://www.avila.info/,marshall islands,persistent tertiary website,1980,plastics,8245
aebe26b80a7a23c,melton-nichols,https://kennedy.com/,palau,user-friendly clear-thinking productivity,2021,legislative office,8741
aaeb29ad43886c6,potter-walsh,http://thomas-french.org/,turkey,optional non-volatile open system,2008,human resources / hr,6923
bd1bc6bb6d1fed3,freeman-chen,https://mathis.com/,timor-leste,phased next generation adapter,1973,international trade / development,346
eb9f456e8b7022a,soto group,https://norris.info/,vietnam,enterprise-wide executive installation,1988,business supplies / equipment,9097
dfef38c51d8dae3,"poole, cruz and whitney",https://reed.info/,reunion,balanced analyzing groupware,1978,marketing / advertising / sales,2992
055ffefb2dd95b0,riley ltd,http://wiley.com/,brazil,optional exuding superstructure,1986,textiles,9315
cbfe4dbae1699da,"erickson, andrews and bailey",https://www.hobbs-grant.com/,eritrea,vision-oriented secondary project,2014,consumer electronics,7829
fdfbecbadcdcdf1,"wilkinson, charles and arroyo",http://hunter-mcfarland.com/,united states virgin islands,assimilated 24/7 archive,1996,building materials,602
5dcb8a5a5ca03c0,floyd ltd,http://www.whitney.com/,falkland islands (malvinas),function-based fault-tolerant concept,2017,public relations / pr,2911
ce57dcbcfd6d618,newman-galloway,https://www.scott.com/,luxembourg,enhanced foreground collaboration,1987,information technology / it,3934
5aad187dc929371,frazier-butler,https://www.daugherty-farley.info/,northern mariana islands,persistent interactive circuit,1972,outsourcing / offshoring,5130
902d7ac8b6d476b,newton inc,https://www.richmond-manning.info/,netherlands antilles,fundamental stable info-mediaries,1976,military industry,563
32bb9ff4d939788,duffy-levy,https://www.potter.com/,guernsey,diverse exuding installation,1982,wireless,6146
adcb0afbe58bae3,wagner llc,https://decker-esparza.com/,uruguay,reactive attitude-oriented toolset,1987,international affairs,6874
dfca1c84adb61ac,mccall-holmes,http://www.dean.com/,benin,object-based value-added database,2009,legal services,696
208044ac2fe52f3,massey llc,https://frazier.biz/,suriname,configurable zero administration graphical user interface,1986,accounting,5004
f3c365f0c1a0623,hicks llc,http://alvarez.biz/,pakistan,quality-focused client-server graphical user interface,1970,computer software / engineering,8480
ec5bdd3cbafab93,"cole, russell and avery",http://www.blankenship.com/,mongolia,de-engineered fault-tolerant challenge,2000,law enforcement,7012
ddb19be7eeb56b4,cummings-rojas,https://simon-pearson.com/,svalbard & jan mayen islands,user-centric modular customer loyalty,2012,financial services,7529
